number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_min_samples_split,params_n_estimators,state
0,0.9483425406499724,2025-02-03 15:15:56.121920,2025-02-03 15:16:01.223015,0 days 00:00:05.101095,True,3,0.2918984612034989,121,COMPLETE
1,0.9444592700638472,2025-02-03 15:16:01.223350,2025-02-03 15:16:05.176016,0 days 00:00:03.952666,False,12,0.6689250789869389,90,COMPLETE
2,0.16665630719307611,2025-02-03 15:16:05.176307,2025-02-03 15:16:06.511243,0 days 00:00:01.334936,True,5,0.8997745053825589,111,COMPLETE
3,0.9703973342378764,2025-02-03 15:16:06.511526,2025-02-03 15:16:12.584523,0 days 00:00:06.072997,False,6,0.13398443369862584,53,COMPLETE
4,0.9477775629381077,2025-02-03 15:16:12.584800,2025-02-03 15:16:17.657798,0 days 00:00:05.072998,True,6,0.3505984580121162,134,COMPLETE
5,0.16665630719307611,2025-02-03 15:16:17.658092,2025-02-03 15:16:19.175893,0 days 00:00:01.517801,True,10,0.8111497135811716,127,COMPLETE
6,0.945825898229456,2025-02-03 15:16:19.176175,2025-02-03 15:16:24.567974,0 days 00:00:05.391799,True,15,0.46036993083937683,187,COMPLETE
7,0.9437490690932094,2025-02-03 15:16:24.568454,2025-02-03 15:16:29.143807,0 days 00:00:04.575353,True,3,0.4656404759899009,144,COMPLETE
8,0.16665630719307611,2025-02-03 15:16:29.144234,2025-02-03 15:16:30.745052,0 days 00:00:01.600818,True,7,0.9598242366014815,128,COMPLETE
9,0.16666666523612123,2025-02-03 15:16:30.745328,2025-02-03 15:16:31.760501,0 days 00:00:01.015173,True,13,0.7449815083492898,84,COMPLETE
